cohort,quarter,date,day_of_quarter,downloads,cum_downloads
control,2017Q1,2017-01-01,1,4974,4974
control,2017Q1,2017-01-02,2,9661,14635
control,2017Q1,2017-01-03,3,16283,30918
control,2017Q1,2017-01-04,4,17777,48695
control,2017Q1,2017-01-05,5,17724,66419
control,2017Q1,2017-01-06,6,16824,83243
control,2017Q1,2017-01-07,7,25467,108710
control,2017Q1,2017-01-08,8,21029,129739
control,2017Q1,2017-01-09,9,33190,162929
control,2017Q1,2017-01-10,10,32373,195302
control,2017Q1,2017-01-11,11,24625,219927
control,2017Q1,2017-01-12,12,24525,244452
control,2017Q1,2017-01-13,13,17742,262194
control,2017Q1,2017-01-14,14,5979,268173
control,2017Q1,2017-01-15,15,7921,276094
control,2017Q1,2017-01-16,16,18466,294560
control,2017Q1,2017-01-17,17,20753,315313
control,2017Q1,2017-01-18,18,21800,337113
control,2017Q1,2017-01-19,19,20084,357197
control,2017Q1,2017-01-20,20,18592,375789
control,2017Q1,2017-01-21,21,7867,383656
control,2017Q1,2017-01-22,22,8251,391907
control,2017Q1,2017-01-23,23,20089,411996
control,2017Q1,2017-01-24,24,22006,434002
control,2017Q1,2017-01-25,25,21424,455426
control,2017Q1,2017-01-26,26,22860,478286
control,2017Q1,2017-01-27,27,20750,499036
control,2017Q1,2017-01-28,28,7085,506121
control,2017Q1,2017-01-29,29,6939,513060
control,2017Q1,2017-01-30,30,21124,534184
control,2017Q1,2017-01-31,31,23667,557851
control,2017Q1,2017-02-01,32,23577,581428
control,2017Q1,2017-02-02,33,22967,604395
control,2017Q1,2017-02-03,34,19623,624018
control,2017Q1,2017-02-04,35,9334,633352
control,2017Q1,2017-02-05,36,8487,641839
control,2017Q1,2017-02-06,37,20783,662622
control,2017Q1,2017-02-07,38,22683,685305
control,2017Q1,2017-02-08,39,23586,708891
control,2017Q1,2017-02-09,40,24887,733778
control,2017Q1,2017-02-10,41,22247,756025
control,2017Q1,2017-02-11,42,8389,764414
control,2017Q1,2017-02-12,43,8236,772650
control,2017Q1,2017-02-13,44,26640,799290
control,2017Q1,2017-02-14,45,27002,826292
control,2017Q1,2017-02-15,46,23846,850138
control,2017Q1,2017-02-16,47,28926,879064
control,2017Q1,2017-02-17,48,26235,905299
control,2017Q1,2017-02-18,49,9318,914617
control,2017Q1,2017-02-19,50,9645,924262
control,2017Q1,2017-02-20,51,23985,948247
control,2017Q1,2017-02-21,52,26969,975216
control,2017Q1,2017-02-22,53,25801,1001017
control,2017Q1,2017-02-23,54,24701,1025718
control,2017Q1,2017-02-24,55,21665,1047383
control,2017Q1,2017-02-25,56,10155,1057538
control,2017Q1,2017-02-26,57,14928,1072466
control,2017Q1,2017-02-27,58,30184,1102650
control,2017Q1,2017-02-28,59,28910,1131560
control,2017Q1,2017-03-01,60,36936,1168496
control,2017Q1,2017-03-02,61,45001,1213497
control,2017Q1,2017-03-03,62,44007,1257504
control,2017Q1,2017-03-04,63,29016,1286520
control,2017Q1,2017-03-05,64,29384,1315904
control,2017Q1,2017-03-06,65,42286,1358190
control,2017Q1,2017-03-07,66,41993,1400183
control,2017Q1,2017-03-08,67,43812,1443995
control,2017Q1,2017-03-09,68,41598,1485593
control,2017Q1,2017-03-10,69,38711,1524304
control,2017Q1,2017-03-11,70,25287,1549591
control,2017Q1,2017-03-12,71,24490,1574081
control,2017Q1,2017-03-13,72,38631,1612712
control,2017Q1,2017-03-14,73,40223,1652935
control,2017Q1,2017-03-15,74,29586,1682521
control,2017Q1,2017-03-16,75,38371,1720892
control,2017Q1,2017-03-17,76,36715,1757607
control,2017Q1,2017-03-18,77,24947,1782554
control,2017Q1,2017-03-19,78,24686,1807240
control,2017Q1,2017-03-20,79,40431,1847671
control,2017Q1,2017-03-21,80,41192,1888863
control,2017Q1,2017-03-22,81,41133,1929996
control,2017Q1,2017-03-23,82,36645,1966641
control,2017Q1,2017-03-24,83,34955,2001596
control,2017Q1,2017-03-25,84,22597,2024193
control,2017Q1,2017-03-26,85,22157,2046350
control,2017Q1,2017-03-27,86,37112,2083462
control,2017Q1,2017-03-28,87,37672,2121134
control,2017Q1,2017-03-29,88,33852,2154986
control,2017Q1,2017-03-30,89,38147,2193133
control,2017Q1,2017-03-31,90,33773,2226906
control,2017Q2,2017-04-01,1,18494,18494
control,2017Q2,2017-04-02,2,18904,37398
control,2017Q2,2017-04-03,3,41759,79157
control,2017Q2,2017-04-04,4,32649,111806
control,2017Q2,2017-04-05,5,26928,138734
control,2017Q2,2017-04-06,6,27014,165748
control,2017Q2,2017-04-07,7,23858,189606
control,2017Q2,2017-04-08,8,9356,198962
control,2017Q2,2017-04-09,9,11358,210320
control,2017Q2,2017-04-10,10,28408,238728
control,2017Q2,2017-04-11,11,28783,267511
control,2017Q2,2017-04-12,12,29868,297379
control,2017Q2,2017-04-13,13,27286,324665
control,2017Q2,2017-04-14,14,19947,344612
control,2017Q2,2017-04-15,15,12546,357158
control,2017Q2,2017-04-16,16,11724,368882
control,2017Q2,2017-04-17,17,22063,390945
control,2017Q2,2017-04-18,18,34285,425230
control,2017Q2,2017-04-19,19,35609,460839
control,2017Q2,2017-04-20,20,29250,490089
control,2017Q2,2017-04-21,21,21289,511378
control,2017Q2,2017-04-22,22,16947,528325
control,2017Q2,2017-04-23,23,25686,554011
control,2017Q2,2017-04-24,24,40676,594687
control,2017Q2,2017-04-25,25,35495,630182
control,2017Q2,2017-04-26,26,30507,660689
control,2017Q2,2017-04-27,27,30653,691342
control,2017Q2,2017-04-28,28,48448,739790
control,2017Q2,2017-04-29,29,18755,758545
control,2017Q2,2017-04-30,30,23236,781781
control,2017Q2,2017-05-01,31,33055,814836
