date,package,downloads,cohort
2017-01-01,dd-trace,0,datadog
2017-01-02,dd-trace,0,datadog
2017-01-03,dd-trace,0,datadog
2017-01-04,dd-trace,0,datadog
2017-01-05,dd-trace,0,datadog
2017-01-06,dd-trace,0,datadog
2017-01-07,dd-trace,0,datadog
2017-01-08,dd-trace,0,datadog
2017-01-09,dd-trace,0,datadog
2017-01-10,dd-trace,0,datadog
2017-01-11,dd-trace,0,datadog
2017-01-12,dd-trace,0,datadog
2017-01-13,dd-trace,0,datadog
2017-01-14,dd-trace,0,datadog
2017-01-15,dd-trace,0,datadog
2017-01-16,dd-trace,0,datadog
2017-01-17,dd-trace,0,datadog
2017-01-18,dd-trace,0,datadog
2017-01-19,dd-trace,0,datadog
2017-01-20,dd-trace,0,datadog
2017-01-21,dd-trace,0,datadog
2017-01-22,dd-trace,0,datadog
2017-01-23,dd-trace,0,datadog
2017-01-24,dd-trace,0,datadog
2017-01-25,dd-trace,0,datadog
2017-01-26,dd-trace,0,datadog
2017-01-27,dd-trace,0,datadog
2017-01-28,dd-trace,0,datadog
2017-01-29,dd-trace,0,datadog
2017-01-30,dd-trace,0,datadog
2017-01-31,dd-trace,0,datadog
2017-02-01,dd-trace,0,datadog
2017-02-02,dd-trace,0,datadog
2017-02-03,dd-trace,0,datadog
2017-02-04,dd-trace,0,datadog
2017-02-05,dd-trace,0,datadog
2017-02-06,dd-trace,0,datadog
2017-02-07,dd-trace,0,datadog
2017-02-08,dd-trace,0,datadog
2017-02-09,dd-trace,0,datadog
2017-02-10,dd-trace,0,datadog
2017-02-11,dd-trace,0,datadog
2017-02-12,dd-trace,0,datadog
2017-02-13,dd-trace,0,datadog
2017-02-14,dd-trace,0,datadog
2017-02-15,dd-trace,0,datadog
2017-02-16,dd-trace,0,datadog
2017-02-17,dd-trace,0,datadog
2017-02-18,dd-trace,0,datadog
2017-02-19,dd-trace,0,datadog
2017-02-20,dd-trace,0,datadog
2017-02-21,dd-trace,0,datadog
2017-02-22,dd-trace,0,datadog
2017-02-23,dd-trace,0,datadog
2017-02-24,dd-trace,0,datadog
2017-02-25,dd-trace,0,datadog
2017-02-26,dd-trace,0,datadog
2017-02-27,dd-trace,0,datadog
2017-02-28,dd-trace,0,datadog
2017-03-01,dd-trace,0,datadog
2017-03-02,dd-trace,0,datadog
2017-03-03,dd-trace,0,datadog
2017-03-04,dd-trace,0,datadog
2017-03-05,dd-trace,0,datadog
2017-03-06,dd-trace,0,datadog
2017-03-07,dd-trace,0,datadog
2017-03-08,dd-trace,0,datadog
2017-03-09,dd-trace,0,datadog
2017-03-10,dd-trace,0,datadog
2017-03-11,dd-trace,0,datadog
2017-03-12,dd-trace,0,datadog
2017-03-13,dd-trace,0,datadog
2017-03-14,dd-trace,0,datadog
2017-03-15,dd-trace,0,datadog
2017-03-16,dd-trace,0,datadog
2017-03-17,dd-trace,0,datadog
2017-03-18,dd-trace,0,datadog
2017-03-19,dd-trace,0,datadog
2017-03-20,dd-trace,0,datadog
2017-03-21,dd-trace,0,datadog
2017-03-22,dd-trace,0,datadog
2017-03-23,dd-trace,0,datadog
2017-03-24,dd-trace,0,datadog
2017-03-25,dd-trace,0,datadog
2017-03-26,dd-trace,0,datadog
2017-03-27,dd-trace,0,datadog
2017-03-28,dd-trace,0,datadog
2017-03-29,dd-trace,0,datadog
2017-03-30,dd-trace,0,datadog
2017-03-31,dd-trace,0,datadog
2017-04-01,dd-trace,0,datadog
2017-04-02,dd-trace,0,datadog
2017-04-03,dd-trace,0,datadog
2017-04-04,dd-trace,0,datadog
2017-04-05,dd-trace,0,datadog
2017-04-06,dd-trace,0,datadog
2017-04-07,dd-trace,0,datadog
2017-04-08,dd-trace,0,datadog
2017-04-09,dd-trace,0,datadog
2017-04-10,dd-trace,0,datadog
2017-04-11,dd-trace,0,datadog
2017-04-12,dd-trace,0,datadog
2017-04-13,dd-trace,0,datadog
2017-04-14,dd-trace,0,datadog
2017-04-15,dd-trace,0,datadog
2017-04-16,dd-trace,0,datadog
2017-04-17,dd-trace,0,datadog
2017-04-18,dd-trace,0,datadog
2017-04-19,dd-trace,0,datadog
2017-04-20,dd-trace,0,datadog
2017-04-21,dd-trace,0,datadog
2017-04-22,dd-trace,0,datadog
2017-04-23,dd-trace,0,datadog
2017-04-24,dd-trace,0,datadog
2017-04-25,dd-trace,0,datadog
2017-04-26,dd-trace,0,datadog
2017-04-27,dd-trace,0,datadog
2017-04-28,dd-trace,0,datadog
2017-04-29,dd-trace,0,datadog
2017-04-30,dd-trace,0,datadog
2017-05-01,dd-trace,0,datadog
2017-05-02,dd-trace,0,datadog
2017-05-03,dd-trace,0,datadog
2017-05-04,dd-trace,0,datadog
2017-05-05,dd-trace,0,datadog
2017-05-06,dd-trace,0,datadog
2017-05-07,dd-trace,0,datadog
2017-05-08,dd-trace,0,datadog
2017-05-09,dd-trace,0,datadog
2017-05-10,dd-trace,0,datadog
2017-05-11,dd-trace,0,datadog
2017-05-12,dd-trace,0,datadog
2017-05-13,dd-trace,0,datadog
2017-05-14,dd-trace,0,datadog
2017-05-15,dd-trace,0,datadog
2017-05-16,dd-trace,0,datadog
2017-05-17,dd-trace,0,datadog
2017-05-18,dd-trace,0,datadog
2017-05-19,dd-trace,0,datadog
2017-05-20,dd-trace,0,datadog
2017-05-21,dd-trace,0,datadog
2017-05-22,dd-trace,0,datadog
2017-05-23,dd-trace,0,datadog
2017-05-24,dd-trace,0,datadog
2017-05-25,dd-trace,0,datadog
2017-05-26,dd-trace,0,datadog
