target,feature,role,vs_baseline,n_oos,rmse_ratio,boot_ci_lo,boot_ci_hi,ci_covers_1,dm_p,mape_%,hit
rev_yoy,azure_ic_yoy,signal,AR(1),13,2.0690547953272334,1.2483150545680588,4.466891151042599,False,0.04618488037929347,17.171908794037506,0.8461538461538461
rev_yoy,azure_ic_yoy,signal,guidance + auto-window beat,13,3.205733694275778,1.7200192879825278,12.008345624782947,False,0.02105032967580911,17.171908794037506,0.8461538461538461
rev_yoy,msft_pbp_yoy,control,AR(1),13,1.2347549764164005,0.8061931518644987,2.810922068654281,True,0.4144023852765315,13.162059560233445,0.6923076923076923
rev_yoy,msft_pbp_yoy,control,guidance + auto-window beat,13,1.9130936701203805,1.13664541318326,7.17744370791904,False,0.01881309074562476,13.162059560233445,0.6923076923076923
rev_yoy,aws_yoy,signal,AR(1),4,0.5161980345116605,0.266363110551377,0.8627457502271257,False,0.1595507022064755,5.5230261311854285,1.0
rev_yoy,aws_yoy,signal,guidance + auto-window beat,4,2.347230788899668,0.7658080284688998,9.426094865674653,True,0.2665579993059948,5.5230261311854285,1.0
rev_yoy,amzn_total_yoy,control,AR(1),13,1.1043581780742742,0.9700224938662573,1.1458202302268592,True,0.31006159022405044,7.941538198340262,0.38461538461538464
rev_yoy,amzn_total_yoy,control,guidance + auto-window beat,13,1.7110606398617851,1.5167958691698087,3.6386967478977956,False,0.09930006152012583,7.941538198340262,0.38461538461538464
beat_vs_guide,azure_ic_yoy,signal,AR(1),14,1.260411060988353,0.7992060365176371,2.6192574118493273,True,0.36648323548568884,56.53216939834172,0.35714285714285715
beat_vs_guide,azure_ic_yoy,signal,random walk,14,1.9454936377719045,1.2124325637895577,3.5934615890184483,False,0.019781868685267545,56.53216939834172,0.35714285714285715
beat_vs_guide,msft_pbp_yoy,control,AR(1),14,0.9849486132991543,0.8776832366263018,1.3910632139119925,True,0.8721178729273684,45.69495386278239,0.2857142857142857
beat_vs_guide,msft_pbp_yoy,control,random walk,14,1.5203066047382707,0.884883481916447,2.549411237469593,True,0.1661216857142369,45.69495386278239,0.2857142857142857
beat_vs_guide,aws_yoy,signal,AR(1),4,1.79851365395246,0.08631587595804804,10.943585248506192,True,0.5375298699165594,17.508058949400993,0.5
beat_vs_guide,aws_yoy,signal,random walk,4,1.5676662933747503,0.09726277138842856,2.6444260529537496,True,0.5034131957225683,17.508058949400993,0.5
beat_vs_guide,amzn_total_yoy,control,AR(1),14,1.030187045292641,0.9375133259762377,1.0778446127305443,True,0.5158295539809421,45.669160948218185,0.2857142857142857
beat_vs_guide,amzn_total_yoy,control,random walk,14,1.59013388914586,0.7391015227999409,2.5264321113711166,True,0.2490204804757039,45.669160948218185,0.2857142857142857
