quarter,asof,rev_yoy,revenue_musd,known_from_reliable,ctrl_abs_d30,ctrl_abs_d45,ctrl_abs_d60,ctrl_abs_full,dd_abs_d30,dd_abs_d45,dd_abs_d60,dd_abs_full,dd_rel_d30,dd_rel_d45,dd_rel_d60,dd_rel_full,dd_rel_wide_d30,dd_rel_wide_d45,dd_rel_wide_d60,dd_rel_wide_full,plc_abs_d30,plc_abs_d45,plc_abs_d60,plc_abs_full,plc_rel_d30,plc_rel_d45,plc_rel_d60,plc_rel_full,guide_high_musd,guide_low_musd,guide_mid_musd,rev_yoy_lag1,rev_yoy_lag2,rev_musd_lag4,rev_yoy_lag4
2019Q3,2019-10-01,0.8769628382347183,95.864,True,0.18686645134795477,0.22098068401130533,0.2491833380734345,0.24384954029398642,2.4069970549106365,2.364882197646377,2.33404429183056,2.264239295259733,2.2201306035626818,2.143901513635072,2.0848609537571257,2.0203897549657466,1.622669041994893,1.5440848244745027,1.4775641479151105,1.3814746534479063,0.5172474004038463,0.5164113117204394,0.5250834623364184,0.4953783981846449,0.33038094905589155,0.2954306277091341,0.27590012426298394,0.2515288578906585,,,,,,,
2019Q4,2020-01-01,,113.644,True,-0.16786955900444944,-0.08934017249601389,-0.033346145232833635,0.0529343216592828,1.987743407279149,1.9165760147681006,1.8605415632381614,1.739178826466663,2.1556129662835986,2.0059161872641145,1.893887708470995,1.6862445048073802,1.475418212995839,1.331632405727591,1.2207946855801293,1.0210662852207744,0.35505515286337896,0.36802931433647856,0.37432548490049555,0.37124450312505175,0.5229247118678284,0.45736948683249246,0.4076716301333292,0.31831018146576895,103.0,101.0,102.0,0.8769628382347183,,,
2020Q1,2020-04-01,0.8736331192005711,131.248,True,0.40165169381075394,0.41497206502305595,0.4316741522395837,0.47044317459407914,1.5046538654819344,1.496520683515282,1.4541958393135666,1.4656072262927289,1.1030021716711804,1.081548618492226,1.0225216870739828,0.9951640516986497,0.5768406387419276,0.5492271568101597,0.5028258102543344,0.48943412702842437,0.3219337057432483,0.33533802990580597,0.3224923304955851,0.376617107063165,-0.07971798806750563,-0.07963403511724998,-0.1091818217439986,-0.09382606753091416,119.0,117.0,118.0,,0.8769628382347183,,
2020Q2,2020-07-01,0.6823916752781716,140.012,True,0.6728234018201338,0.7034847362390444,0.6825033909288436,0.707840630731079,1.5314436030355623,1.5000700595753163,1.4565801088686854,1.424496508203319,0.8586202012154285,0.7965853233362719,0.7740767179398418,0.71665587747224,0.46915902492616546,0.4031930679944917,0.38584344758878153,0.32445447320594134,0.4914978424321603,0.4698620066102954,0.4529311352283294,0.4773720611874346,-0.18132555938797346,-0.23362272962874897,-0.2295722557005142,-0.23046856954364436,136.0,134.0,135.0,0.8736331192005711,,,
2020Q3,2020-10-01,0.6134836852207293,154.675,True,0.7413052758719356,0.7011535847253718,0.658537347718223,0.6585240055001478,1.4303793668534688,1.5104059055035801,1.5430534533637879,1.5589249949363246,0.6890740909815332,0.8092523207782083,0.8845161056455648,0.9004009894361769,0.338408275645552,0.43018746242565165,0.4809977872256237,0.48736827428503027,0.5231505619877801,0.5167716784537824,0.503202688593813,0.5402130714485374,-0.21815471388415553,-0.18438190627158946,-0.15533465912441002,-0.11831093405161042,145.0,143.0,144.0,0.6823916752781716,0.8736331192005711,95.864,0.8769628382347183
2020Q4,2021-01-01,0.5621678223223399,177.531,True,0.637640413351118,0.5800527118717032,0.5393723447556944,0.5627813577961813,1.4813670121418898,1.4035606266350307,1.3563368664604631,1.3908751434504865,0.8437265987907718,0.8235079147633275,0.8169645217047687,0.8280937856543051,0.431466690286884,0.4139085443249275,0.40375135839301635,0.4125967424755288,0.623181427954087,0.604304142186816,0.5993387515621542,0.6433449149826345,-0.014458985397030943,0.0242514303151129,0.059966406806459815,0.08056355718645314,164.0,162.0,163.0,0.6134836852207293,0.6823916752781716,113.644,
2021Q1,2021-04-01,0.5127773375594296,198.549,True,0.4532456006379597,0.4488132458341063,0.4644475429945629,0.41522612487716515,1.3484094706103882,1.3275449019325212,1.3702534059237923,1.4034694346139673,0.8951638699724285,0.8787316560984149,0.9058058629292294,0.9882433097368022,0.25490433188009654,0.22704037232340646,0.23766486811475218,0.28537451322842955,0.6353707474636465,0.6292689453289526,0.6550466478048946,0.6493140034835463,0.1821251468256868,0.1804556994948463,0.1905991048103317,0.23408787860638114,187.0,185.0,186.0,0.5621678223223399,0.6134836852207293,131.248,0.8736331192005711
2021Q2,2021-07-01,0.6680641659286346,233.549,True,-0.021108511733441304,-0.045813711891861786,-0.029802594238537594,-0.014955203261056482,1.2799239121427082,1.2436375982522119,1.2631872627649088,1.2624450889678602,1.3010324238761495,1.2894513101440737,1.2929898570034464,1.2774002922289167,0.2835424831396356,0.26557540369960897,0.26815669795426444,0.2797372916023857,0.5771029524384126,0.5727002689693386,0.5886214135899728,0.5968827081851913,0.5982114641718539,0.6185139808612004,0.6184240078285104,0.6118379114462478,213.0,211.0,212.0,0.5127773375594296,0.5621678223223399,140.012,0.6823916752781716
2021Q3,2021-10-01,0.7487506061095845,270.488,True,-0.008929067422023707,-0.025195156992911194,-0.016186083201779056,0.017804052250745883,1.1923283518499623,1.1652401163363564,1.1459518178816985,1.1854074314332639,1.201257419271986,1.1904352733292676,1.1621379010834776,1.167603379182518,0.3386249848119238,0.33956540171882565,0.3396846724293816,0.3779507573580272,0.504093869526681,0.48870076220163483,0.48730262229635457,0.498284255826146,0.5130229369487047,0.513895919194546,0.5034887054981336,0.4804802035754001,248.0,246.0,247.0,0.6680641659286346,0.5127773375594296,154.675,0.6134836852207293
2021Q4,2022-01-01,0.8374143107400962,326.198,True,-0.01998412350126344,0.019171680705101224,0.0773584355684438,0.09838139428529402,1.1928457463627264,1.2633283389972636,1.3187184213859489,1.3306406337889243,1.2128298698639899,1.2441566582921624,1.241359985817505,1.2322592395036303,0.49793438713096627,0.5476261042936326,0.5694070742403561,0.5820637221497869,0.43150470504740923,0.4389967283639322,0.45368916414495075,0.47836750413735984,0.45148882854867267,0.419825047658831,0.37633072857650696,0.3799861098520658,292.0,290.0,291.0,0.7487506061095845,0.6680641659286346,177.531,0.5621678223223399
